,WELL,Dnmt1_g1,Mbd2_g1,Safe_g1,Safe_g2
0,A1,0,513,6,0
1,A10,0,7,4,0
2,A11,1,5626,10,0
3,A12,0,15,3,0
4,A13,0,1,1088,0
5,A14,0,1,21,0
6,A15,0,0,2155,0
7,A16,0,2,7688,0
8,A17,0,3,7499,0
9,A18,0,0,21550,0
10,A19,0,5,10515,0
11,A2,0,998,9,0
12,A20,0,3,4907,0
13,A21,0,4,277,0
14,A22,0,1,9634,0
15,A23,0,2,41779,0
16,A24,0,6,54,0
17,A3,0,4480,7,0
18,A4,0,7,4,0
19,A5,0,1087,7,0
20,A6,0,1957,0,0
21,A7,0,7,3,0
22,A8,0,906,5,0
23,A9,0,304,5,0
24,B1,0,6635,8,0
25,B10,0,14,5,0
26,B11,0,765,3,0
27,B12,1,2867,6,0
28,B13,0,2,5986,0
29,B14,0,2,34210,0
30,B15,0,2,257,0
31,B16,0,0,369,0
32,B17,0,2,765,0
33,B18,0,3,2937,0
34,B19,0,4,137,0
35,B2,0,322,5,0
36,B20,0,5,9440,0
37,B21,0,4,567,0
38,B22,0,1,3898,0
39,B23,0,0,19753,0
40,B24,0,4,28424,0
41,B3,0,1462,7,0
42,B4,0,4,7,0
43,B5,0,178,3,0
44,B6,0,5,4,0
45,B7,0,286,3,0
46,B8,0,18768,3,0
47,B9,0,2292,5,0
48,C1,0,4035,12,0
49,C10,0,5,6,0
50,C11,8,17,525,0
51,C12,0,12,7,0
52,C13,0,124,155,0
53,C14,0,2,266,0
54,C15,0,0,7204,0
55,C16,0,3,232,0
56,C17,0,4,536,0
57,C18,0,0,8221,0
58,C19,0,5,115352,0
59,C2,0,42,7,0
60,C20,0,2,1663,0
61,C21,0,6,32788,0
62,C22,0,3,1559,0
63,C23,0,2,3748,0
64,C24,0,7,3714,0
65,C3,0,337,5,0
66,C4,0,1721,6,0
67,C5,0,13,11,0
68,C6,0,7618,2,0
69,C7,0,6,7,0
70,C8,0,3369,8,0
71,C9,0,5622,10,0
72,D1,0,770,2,0
73,D10,0,916,4,0
74,D11,0,9187,11,0
75,D12,0,4141,2,0
76,D13,0,5,32573,0
77,D14,0,0,3019,0
78,D15,0,2,755,0
79,D16,0,0,288,0
80,D17,0,3,3630,0
81,D18,0,0,426,0
82,D19,0,0,169,0
83,D2,0,969,4,0
84,D20,0,0,207,0
85,D21,0,1,25809,0
86,D22,0,1,7844,0
87,D23,0,0,1660,0
88,D24,0,1,589,0
89,D3,0,434,2,0
90,D4,0,451,5,0
91,D5,0,58,7,0
92,D6,0,282,3,0
93,D7,0,758,3,0
94,D8,0,2,1,0
95,D9,0,24,5,0
96,E1,0,804,15,0
97,E10,0,3592,6,0
98,E11,0,2037,8,0
99,E12,0,3062,11,0
100,E13,0,3,9133,0
101,E14,0,3,15461,0
102,E15,0,4,19,0
103,E16,0,4,2547,0
104,E17,0,1,11925,0
105,E18,0,0,23,0
106,E19,0,1,6213,0
107,E2,0,2864,8,0
108,E20,0,4,61363,60
109,E21,0,0,29919,0
110,E22,0,5,15128,0
111,E23,0,0,469,0
112,E24,0,5,44995,75
113,E3,0,2564,8,0
114,E4,0,5595,13,0
115,E5,0,4542,9,0
116,E6,0,307,4,0
117,E7,0,728,7,0
118,E8,0,4209,13,0
119,E9,0,3617,11,0
120,F1,0,11761,10,0
121,F10,0,1967,4,0
122,F11,0,1410,3,0
123,F12,0,381,6,0
124,F13,0,2,6,0
125,F14,0,5,233,0
126,F15,0,1,3705,0
127,F16,0,3,4894,0
128,F17,0,2,20519,0
129,F18,0,5,165,0
130,F19,0,2,16269,0
131,F2,0,4349,5,0
132,F20,0,4,3570,0
133,F21,0,6,43585,0
134,F22,0,4,7631,0
135,F23,0,1,687,0
136,F24,0,6,1746,0
137,F3,0,2363,5,0
138,F4,0,4708,6,0
139,F5,0,10,5,0
140,F6,0,1832,3,0
141,F7,0,5817,11,0
142,F8,0,1157,3,0
143,F9,0,16767,11,0
144,G1,0,4561,11,0
145,G10,0,4332,6,0
146,G11,0,1809,6,0
147,G12,0,4099,8,0
148,G13,0,3,22,0
149,G14,0,5,91,0
150,G15,0,4,16185,0
151,G16,0,2,38,0
152,G17,0,4,809,0
153,G18,0,2,22817,0
154,G19,0,5,29257,0
155,G2,0,14,9,0
156,G20,0,5,12352,0
157,G21,0,7,2564,0
158,G22,0,4,2327,0
159,G23,0,0,1639,0
160,G24,0,9,84762,0
161,G3,0,798,5,0
162,G4,0,16,14,0
163,G5,0,283,18,0
164,G6,0,8006,2,0
165,G7,0,7495,10,0
166,G8,0,326,6,0
167,G9,0,7506,11,0
168,H1,0,11718,9,0
169,H10,0,169,12,0
170,H11,0,804,7,0
171,H12,0,11,11,0
172,H13,0,1,1015,0
173,H14,0,3,1254,0
174,H15,0,1,435,0
175,H16,0,3,31533,0
176,H17,0,4,1129,0
177,H18,0,0,22449,0
178,H19,0,5,6738,0
179,H2,0,2995,15,0
180,H20,0,5,63892,0
181,H21,0,8,1484,0
182,H22,0,5,22917,0
183,H23,0,2,2766,0
184,H24,0,9,43075,0
185,H3,0,5981,8,0
186,H4,0,5165,11,0
187,H5,0,4576,12,0
188,H6,0,3782,6,0
189,H7,0,8,17,0
190,H8,0,1094,4,0
191,H9,0,6233,10,0
192,I1,0,12222,3,0
193,I10,0,2545,3,0
194,I11,0,1,2,0
195,I12,0,1286,3,0
196,I13,0,3,1349,0
197,I14,0,1,1982,0
198,I15,0,0,1971,0
199,I16,0,0,14216,0
